,var1,var2,corr
46476,乳首/乳輪,リョナ,-0.023674082957360332
42895,売春/援交,変身ヒロイン,-0.0236722883404069
49173,ショタ,乳首責め,-0.023669438442580615
32286,おもちゃ,性転換(TS),-0.0236648270144065
52222,百合,寝取られ,-0.023664827014406455
5055,命令/無理矢理,おむつ,-0.023660983157881774
22391,和姦,魔法少女,-0.023657888069171188
36004,先輩/後輩,本番なし,-0.0236564409534641
39817,サキュバス/淫魔,スクール水着,-0.02365627835616594
17986,ツンデレ,逆転無し,-0.02365582050018807
6026,搾乳,逆転無し,-0.02365582050018805
52952,連続絶頂,パンツ,-0.02365435626518056
62456,ぶっかけ,ささやき,-0.02365212040226426
40227,パイズリ,戦闘エロ,-0.023651627066796372
59139,学生,チラリズム,-0.023648049781424506
61419,虫えっち,学生,-0.023648049781424464
12642,言葉責め,東方Project,-0.023640079218597336
31023,お尻/ヒップ,金髪,-0.023636651035689474
36091,おっぱい,回し,-0.023630152991459732
30708,手コキ,ラバー,-0.023629215305181937
46304,尿道,手コキ,-0.023629215305181927
38751,ミリタリー,手コキ,-0.0236292153051819
68070,母親,獣耳,-0.023628019838728233
38127,妊娠/孕ませ,責め苦,-0.0236161717374216
37985,妊娠/孕ませ,筋肉,-0.023616171737421556
36582,悪堕ち,ツルペタ,-0.02361380004741409
38496,歳の差,悪堕ち,-0.023613800047414063
24510,女主人公,体格差,-0.023606896607420345
24493,女主人公,おもらし,-0.023606896607420335
61821,ほのぼの,回し,-0.02360546681364154
30202,萌え,黒髪,-0.023604304315703418
6293,ASMR,汁/液大量,-0.0236043043157033
50507,初体験,バイノーラル/ダミヘ,-0.02359703491189491
40377,パイズリ,女体化,-0.02359661169577342
19614,屈辱,赤ちゃんプレイ,-0.023584810827417216
4445,丸呑み,イラマチオ,-0.023584711591358793
65458,純愛,変身ヒロイン,-0.023581894388448064
21181,無表情,異種えっち,-0.023569103300320218
6090,搾乳,コスプレ,-0.02356326222049703
11225,ビッチ,人体改造,-0.02356214750817187
14333,学校/学園,アニメ,-0.02356012444804745
14332,学校/学園,軍服,-0.023560124448047358
45922,ソフトエッチ,学校/学園,-0.023560124448047323
55049,ハーレム,薬物,-0.023558515531672684
63778,出産,人妻,-0.023554880449588728
26886,人妻,魔法使い/魔女,-0.023554880449588717
11979,性転換(TS),貧乳/微乳,-0.0235544135853911
3875,ニーソックス,シリーズもの,-0.023549631886616528
21587,お姉さん,機械責め,-0.023541238357807893
1768,機械責め,放尿/おしっこ,-0.023541238357807782
67624,格闘,淫語,-0.023538747172192037
67746,格闘,オホ声,-0.023538747172191978
18613,緊縛,ツインテール,-0.023520844711166982
48421,着物/和服,マニアック/変態,-0.023496578016438743
50253,フェチ,熟女,-0.023496578016438736
36401,悪堕ち,水着,-0.02349657801643872
23387,マニアック/変態,熟女,-0.023496578016438705
50581,初体験,総集編,-0.02349379269252852
25065,男性受け,お嬢様,-0.02349258908077552
55715,フタナリ,バイノーラル/ダミヘ,-0.023492589080775395
38140,妊娠/孕ませ,ツンデレ,-0.02348321033949138
57114,ママ,処女,-0.023482555187211113
8045,血液/流血,貧乳/微乳,-0.02348130544109208
9224,軍服,貧乳/微乳,-0.02348130544109205
45797,ソフトエッチ,貧乳/微乳,-0.02348130544109201
33197,ウェイトレス,貧乳/微乳,-0.02348130544109201
63484,ムチムチ,ざぁ～こ♡,-0.023475116526524533
67411,キャットファイト,巨乳/爆乳,-0.023470430489717573
13679,風俗/ソープ,露出,-0.02347039356858169
11136,露出,搾乳,-0.023470393568581646
32018,褐色/日焼け,耳舐め,-0.023467262557538306
31990,褐色/日焼け,ASMR,-0.0234672625575383
7171,アナル,逆転無し,-0.023465608755755023
54017,ファンタジー,ゲイ/男同士,-0.02345689248605008
67124,癒し,ファンタジー,-0.023456892486049995
52050,百合,シリーズもの,-0.023454596337897624
7061,つるぺた,男主人公,-0.023449360155833175
28837,妹,オールハッピー,-0.023447961190721258
18319,女体化,獣耳,-0.023444961396364906
41999,近親もの,丸呑み,-0.023444113860341127
30970,お尻/ヒップ,丸呑み,-0.02344411386034106
66287,女教師,女主人公,-0.02344346535397988
7246,アナル,ヤクザ/裏社会,-0.023437340197819366
7127,つるぺた,ヤクザ/裏社会,-0.02343734019781933
3254,東方Project,幼なじみ,-0.02343703665479065
27587,色仕掛け,首輪/鎖/拘束具,-0.023425220620107216
16048,ごっくん/食ザー,変身ヒロイン,-0.023416539772451353
3947,お嬢様,逆転無し,-0.023414712261934128
7805,触手,外国人,-0.02341255894961014
53753,ささやき,触手,-0.02341255894961011
11592,ラブコメ,リョナ,-0.023411346617312798
54637,クンニ,オカルト,-0.023410721730549953
54792,クンニ,責め苦,-0.023410721730549918
38626,ミリタリー,口内射精,-0.02340662578922869
7583,口内射精,ラバー,-0.023406625789228638
50944,逆アナル,合意なし,-0.023405322126361504
24948,合意なし,年上,-0.023405322126361466
50909,逆アナル,トランス/暗示,-0.023405322126361434
19103,年上,トランス/暗示,-0.02340532212636142
37625,腹パン,男性受け,-0.023404297330561447
61649,憑依,男性受け,-0.023404297330561437
34415,異世界転生,男性受け,-0.023404297330561423
28665,浣腸,男性受け,-0.02340429733056142
25028,男性受け,同居,-0.023404297330561374
55618,フタナリ,スパッツ,-0.023404297330561333
55718,フタナリ,主従,-0.0234042973305613
55663,フタナリ,同居,-0.023404297330561274
7658,スレンダー,乳首責め,-0.023401216505816076
21235,無表情,アナル,-0.02340021120417027
38907,実姉,パイパン,-0.023399017516313857
38799,実姉,レズ/女同士,-0.023399017516313847
68098,母親,人外娘/モンスター娘,-0.023386108062015576
68238,母親,男の娘,-0.0233861080620155
4682,拘束,メス堕ち,-0.023385798214316033
48258,着物/和服,女性視点,-0.023378836963610077
65451,純愛,搾乳,-0.02337721079719811
46214,尿道,フェラチオ,-0.023376921503575745
48986,畜えち,フェラチオ,-0.02337692150357572
2075,メガネ,機械責め,-0.02337255354011465
32132,おもちゃ,複乳/怪乳/超乳,-0.02337044639857884
67415,キャットファイト,おもちゃ,-0.023370446398578697
27727,色仕掛け,人妻,-0.023365497832257325
4037,魔法使い/魔女,乳首責め,-0.023364356164634004
63578,出産,乳首責め,-0.023364356164633983
56324,ギャグ,貧乳/微乳,-0.023363152150762328
59021,学生,魔法少女,-0.023343619647138752
1081,シリーズもの,浮気,-0.0233423825457021
64058,おねショタ,性転換(TS),-0.023339126698008188
25625,本番なし,体格差,-0.023336358978043086
3531,レスラー/格闘家,回し,-0.02333234346810338
40285,パイズリ,シリアス,-0.023331992125729388
50245,フェチ,言葉責め,-0.023325752185021698
23846,オホ声,緊縛,-0.023320430392202555
23663,オホ声,閉じ込め,-0.023320430392202555
4570,淫語,閉じ込め,-0.02332043039220251
2652,寝取り,焦らし,-0.02330948115371189
27711,色仕掛け,マニアック/変態,-0.02330893472238554
32380,おもちゃ,お尻/ヒップ,-0.023304118737774274
4436,丸呑み,ギャル,-0.023302836439302522
52740,連続絶頂,魔法使い/魔女,-0.023300578315091854
20778,潮吹き,健全,-0.0232987335670125
20982,断面図,健全,-0.023298733567012463
20806,潮吹き,耳かき,-0.023298733567012456
21010,断面図,耳かき,-0.02329873356701244
44202,複数プレイ/乱交,萌え,-0.0232942042155169
42828,売春/援交,人体改造,-0.02329319817704002
16041,ごっくん/食ザー,搾乳,-0.023283710086559706
37244,日常/生活,リョナ,-0.023278982022338184
61984,ほのぼの,お姉さん,-0.023274869053035982
61986,ほのぼの,快楽堕ち,-0.023274869053035965
61833,ほのぼの,放尿/おしっこ,-0.02327486905303592
22105,快楽堕ち,すやすやえっち,-0.0232748690530359
6202,赤ちゃんプレイ,拘束,-0.023272381688652907
39437,既婚者,拘束,-0.023272381688652827
50788,逆アナル,黒髪,-0.02327083660488163
50798,逆アナル,汁/液大量,-0.02327083660488161
53892,ささやき,羞恥/恥辱,-0.023267992858369082
43002,売春/援交,男性受け,-0.02326334648072685
55904,フタナリ,売春/援交,-0.023263346480726824
36352,悪堕ち,恋人同士,-0.023260568947052262
15218,獣耳,熟女,-0.023260568947052217
30209,萌え,イラマチオ,-0.02326049541591207
9804,耳舐め,イラマチオ,-0.023260495415912033
6290,ASMR,イラマチオ,-0.02326049541591202
52961,連続絶頂,着物/和服,-0.023254914968262517
15873,総集編,アナル,-0.023247986297181278
35537,ツルペタ,メス堕ち,-0.023235220505989074
38252,歳の差,メス堕ち,-0.023235220505989067
36087,おっぱい,戦闘エロ,-0.023234509044849038
22447,和姦,東方Project,-0.023232460094396827
35457,バニーガール,和姦,-0.023232460094396796
11130,露出,バイノーラル/ダミヘ,-0.023231175265229866
28332,体操着,ぼて腹/妊婦,-0.023227532044997688
16378,クリ責め,ニーソックス,-0.02322753204499768
28384,体操着,クリ責め,-0.02322753204499765
20942,断面図,乳首責め,-0.02322332843676631
39833,サキュバス/淫魔,和姦,-0.023219773630274592
63163,着衣,ささやき,-0.023219663217812946
53676,ささやき,アヘ顔,-0.023219663217812943
54028,ファンタジー,健全,-0.02321246608627298
59440,しつけ,耳かき,-0.02321246608627295
66048,女医,しつけ,-0.02321246608627293
7536,口内射精,精神支配,-0.023209464522586903
42677,童貞,女体化,-0.023204923834814522
18286,女体化,青姦,-0.023204923834814418
29805,スカトロ,言葉責め,-0.023199621495239717
56439,ギャグ,言葉責め,-0.023199621495239697
56913,ボンデージ,複数プレイ/乱交,-0.023195702321526467
44010,複数プレイ/乱交,寝取らせ,-0.023195702321526467
19163,スクール水着,女性視点,-0.023192133947710664
27548,色仕掛け,女性視点,-0.02319213394771063
27010,人妻,脚,-0.023191935607127574
66292,女教師,本番なし,-0.023174800664727234
25498,本番なし,寝取り,-0.02317480066472722
15784,総集編,逆転無し,-0.023174664226473133
63284,ムチムチ,丸呑み,-0.023160866588067736
61701,憑依,妊娠/孕ませ,-0.0231542663621381
38002,妊娠/孕ませ,同居,-0.023154266362138087
62296,ぶっかけ,ヤンデレ,-0.02315083233844533
62133,ぶっかけ,おむつ,-0.02315083233844523
50304,フェチ,オホ声,-0.023149011928876605
6694,リョナ,焦らし,-0.02314593787795839
68013,母親,変身ヒロイン,-0.023141953161452032
65445,純愛,バイノーラル/ダミヘ,-0.023138942244620896
63306,ムチムチ,リョナ,-0.0231377361177247
6206,赤ちゃんプレイ,命令/無理矢理,-0.023137607942589223
37160,日常/生活,乳首責め,-0.02313205661857612
2517,少女,乳首責め,-0.02313147597121685
53492,淫乱,女体化,-0.023130476631496467
42017,近親もの,ASMR,-0.02312183046488407
30988,お尻/ヒップ,ASMR,-0.02312183046488399
36167,おっぱい,年下攻め,-0.023121796342350023
36283,おっぱい,拡張,-0.023121796342349968
36084,おっぱい,猟奇,-0.02312179634234996
2991,汁/液大量,ギャル,-0.023120876102750074
50112,フェチ,メス堕ち,-0.023119877793998475
23246,マニアック/変態,メス堕ち,-0.023119877793998395
49285,ショタ,芸能人/アイドル/モデル,-0.0231175963105672
49200,ショタ,機械責め,-0.023117596310567156
61840,ほのぼの,メガネ,-0.02310809290543613
31995,褐色/日焼け,変身ヒロイン,-0.02310726100784619
30040,陰毛/腋毛,ビッチ,-0.023105424492987497
33691,逆レ,ニューハーフ,-0.023105389517844393
57509,下着,オホ声,-0.02310017744938011
23866,オホ声,ストッキング,-0.02310017744938011
29742,スカトロ,淫語,-0.023100177449379977
7682,スレンダー,巨根,-0.023098860779371854
25549,本番なし,スレンダー,-0.023098860779371806
25454,本番なし,顔射,-0.02309886077937177
5643,ヤクザ/裏社会,ラブラブ/あまあま,-0.02309479819315305
52126,百合,口内射精,-0.023087686414147508
32888,ボクっ娘,手コキ,-0.02308266098221346
30700,手コキ,健全,-0.023082660982213395
11076,露出,人体改造,-0.023078264385613407
27669,色仕掛け,獣耳,-0.023074810417630442
60811,エルフ/妖精,ツインテール,-0.023074543831490255
15558,誘い受け,フェラチオ,-0.023066275760176894
12541,フェラチオ,戦場,-0.023066275760176867
64419,動物/ペット,フェラチオ,-0.023066275760176842
66840,癒し,回し,-0.023056143906307707
16035,ごっくん/食ザー,バイノーラル/ダミヘ,-0.02304639452530301
4807,オナニー,寝取らせ,-0.02304324289923707
57728,きせかえ,オナニー,-0.02304324289923701
32838,ボクっ娘,屈辱,-0.023039283599888324
65901,女医,屈辱,-0.02303928359988832
34651,ガーター,屈辱,-0.023039283599888306
19575,屈辱,健全,-0.023039283599888258
19603,屈辱,耳かき,-0.023039283599888247
43023,売春/援交,陰毛/腋毛,-0.023037379677305344
27527,色仕掛け,乳首責め,-0.023033541434359924
7685,スレンダー,機械責め,-0.023032084335669126
1740,機械責め,顔射,-0.02303208433566909
6314,ASMR,オナニー,-0.023026615826671492
28761,妹,東方Project,-0.023026308226061474
67768,格闘,妹,-0.023026308226061432
8325,ぼて腹/妊婦,コメディ,-0.02302311735475659
16359,クリ責め,コメディ,-0.02302311735475657
16447,クリ責め,オールハッピー,-0.023023117354756543
16290,クリ責め,浮気,-0.023023117354756494
42756,童貞,悪堕ち,-0.02302241925868505
58622,男の娘,着物/和服,-0.023022419258685024
20468,人外娘/モンスター娘,熟女,-0.023022419258685003
58478,男の娘,熟女,-0.023022419258684992
36456,悪堕ち,青姦,-0.023022419258684947
55863,フタナリ,メイド,-0.023020695199424252
25572,本番なし,金髪,-0.023012202330141843
29550,OL,金髪,-0.023012202330141836
29519,OL,リョナ,-0.023012202330141802
6726,リョナ,巨根,-0.023012202330141777
22029,快楽堕ち,レスラー/格闘家,-0.023005570836952635
21612,お姉さん,レスラー/格闘家,-0.023005570836952562
51889,VTuber,お姉さん,-0.023005570836952507
40456,パイズリ,悪堕ち,-0.023005018499636893
1208,姉妹,乳首責め,-0.023004347011306932
25253,道具/異物,女性視点,-0.023004024381181036
29660,スカトロ,幼なじみ,-0.023000361984128165
56294,ギャグ,幼なじみ,-0.02300036198412797
55017,ハーレム,少女,-0.02299414639068086
32152,おもちゃ,ニューハーフ,-0.02298713765852715
30200,萌え,ギャル,-0.022982495167451676
34028,長身,オナニー,-0.022968340070711586
54889,クンニ,腹パン,-0.022952834723001157
54877,クンニ,異世界転生,-0.022952834723001154
54766,クンニ,ピアス/装飾品,-0.022952834723001095
54854,クンニ,浣腸,-0.022952834723001095
61756,憑依,クンニ,-0.02295283472300106
2544,少女,機械責め,-0.02294630427530642
29474,OL,少女,-0.022946106516237144
25496,本番なし,少女,-0.022946106516237078
29921,陰毛/腋毛,逆転無し,-0.02294598854283111
52864,連続絶頂,脚,-0.022941551881316437
52956,連続絶頂,少年,-0.022941551881316424
7900,パイパン,魔法少女,-0.022940173743907673
12372,オールハッピー,パイパン,-0.02294017374390764
40292,パイズリ,ヤクザ/裏社会,-0.022938214885375462
56785,ボンデージ,学校/学園,-0.0229284845641474
14250,学校/学園,寝取らせ,-0.02292848456414739
57799,きせかえ,学校/学園,-0.022928484564147353
25124,男性受け,未亡人,-0.022928172327795218
55939,フタナリ,ささやき,-0.022928172327795194
25031,男性受け,外国人,-0.022928172327795156
55759,フタナリ,未亡人,-0.022928172327795107
55666,フタナリ,外国人,-0.022928172327795104
67575,格闘,シリーズもの,-0.02292262814903781
3287,東方Project,シリーズもの,-0.022922628149037772
52846,連続絶頂,スクール水着,-0.022922157083884124
52885,連続絶頂,色仕掛け,-0.022922157083884103
7755,触手,おむつ,-0.02291634820210468
31341,巨乳/爆乳,マニアック/変態,-0.022915917648592944
11935,性転換(TS),浮気,-0.02291583277920695
12401,オールハッピー,性転換(TS),-0.02291583277920691
42930,売春/援交,ラブコメ,-0.0229085117164946
26258,下僕,ラブコメ,-0.022908511716494568
45223,女装,寝取り,-0.02290330134828816
66367,女教師,女装,-0.02290330134828815
48233,着物/和服,SM,-0.022902520685360646
52132,百合,ぼて腹/妊婦,-0.02288796628528725
16445,クリ責め,性転換(TS),-0.022887966285287158
692,恋人同士,メス堕ち,-0.022887652452986112
15077,獣耳,メス堕ち,-0.022887652452986088
65560,純愛,寝取られ,-0.022885507208548247
45914,ソフトエッチ,処女,-0.022884712247905673
60944,エルフ/妖精,オホ声,-0.02287793231331606
6733,リョナ,足コキ,-0.02287776318578116
63924,おねショタ,ニューハーフ,-0.02286841726173028
32763,ボクっ娘,口内射精,-0.02286522006136248
7603,口内射精,耳かき,-0.022865220061362424
7575,口内射精,健全,-0.022865220061362417
65294,シスター,ショタ,-0.0228560205190285
15835,総集編,母乳,-0.022852315246678752
1475,寝取らせ,貧乳/微乳,-0.022851778671174598
17924,産卵,フェラチオ,-0.022846130980193013
7564,口内射精,ゲイ/男同士,-0.02284417211659647
7611,口内射精,3D作品,-0.022844172116596374
63330,ムチムチ,耳舐め,-0.02284247695857708
63436,ムチムチ,萌え,-0.022842476958577072
63302,ムチムチ,ASMR,-0.02284247695857702
51745,VTuber,メガネ,-0.02284072434656947
60222,屋外,女体化,-0.022840671958259774
20497,人外娘/モンスター娘,スクール水着,-0.022838562588843505
58546,男の娘,色仕掛け,-0.022838562588843474
58507,男の娘,スクール水着,-0.022838562588843467
34812,羞恥/恥辱,淫語,-0.02283479056818524
33963,長身,精神支配,-0.022830541598768034
45365,女装,中出し,-0.022827976137200973
14308,学校/学園,ASMR,-0.022824694515228214
30304,萌え,学校/学園,-0.022824694515228127
67393,キャットファイト,人妻,-0.022823431697664525
35976,先輩/後輩,屈辱,-0.022822194962290047
53571,淫乱,悪堕ち,-0.022803464559522806
29858,スカトロ,和姦,-0.022799597057579064
50624,初体験,女主人公,-0.022799434613032177
50970,逆アナル,お尻/ヒップ,-0.022795178860498314
65372,純愛,逆転無し,-0.022791740266787486
48322,着物/和服,変身ヒロイン,-0.02278206133038284
13978,熟女,変身ヒロイン,-0.022782061330382807
26327,下僕,女主人公,-0.022778990082203687
34884,羞恥/恥辱,ヤンデレ,-0.022774846075309052
61805,ほのぼの,顔射,-0.022771476112826605
67946,母親,人体改造,-0.02277135583353632
45297,女装,金髪,-0.022742607898984538
45266,女装,リョナ,-0.022742607898984493
24515,女主人公,断面図,-0.022740091568722337
23690,オホ声,恋人同士,-0.02273443185739331
4728,拘束,健全,-0.022734081086900896
5047,耳かき,拘束,-0.02273408108690088
65800,女医,拘束,-0.022734081086900854
30586,ムチ/縄/蝋燭,断面図,-0.02273400491932172
20726,潮吹き,靴下,-0.022734004919321676
57158,ママ,断面図,-0.022734004919321663
67005,癒し,快楽堕ち,-0.022733239487437187
21589,お姉さん,ゲイ/男同士,-0.022733239487437155
22053,快楽堕ち,3D作品,-0.022733239487437145
22006,快楽堕ち,ゲイ/男同士,-0.02273323948743712
5835,3D作品,放尿/おしっこ,-0.02273323948743702
43413,体育会系/スポーツ選手,アヘ顔,-0.022727540743420677
1133,アヘ顔,おむつ,-0.02272754074342057
24926,合意なし,天使/悪魔,-0.022720279167431613
33769,逆レ,シリアス,-0.02271379970950756
18575,緊縛,シリーズもの,-0.022710025739496355
1091,シリーズもの,閉じ込め,-0.022710025739496292
25232,道具/異物,乳首責め,-0.022696527549101037
6260,ASMR,貧乳/微乳,-0.02268948289736456
53515,淫乱,脚,-0.022689013043686965
53607,淫乱,少年,-0.022689013043686895
65051,シスター,少女,-0.022686666654549357
61847,ほのぼの,少女,-0.022686666654549315
53904,ささやき,妊娠/孕ませ,-0.022683227860959682
38098,妊娠/孕ませ,未亡人,-0.022683227860959585
31864,メイド,体操着,-0.022681826081525063
39859,サキュバス/淫魔,体操着,-0.022681826081525035
50327,フェチ,退廃/背徳/インモラル,-0.02267576922032708
7174,アナル,アンソロジー,-0.022668543817426026
17511,ショタおね,アナル,-0.022668543817425984
20623,戦士,アナル,-0.022668543817425967
7096,つるぺた,包茎,-0.022668543817425953
46934,少年,おっぱい,-0.022664651764137837
20386,人外娘/モンスター娘,ツインテール,-0.022662498597950078
60301,屋外,悪堕ち,-0.02266103218939311
60444,くすぐり,異種えっち,-0.02265832629315707
18980,年上,ギャル,-0.022657812010093672
42512,童貞,メス堕ち,-0.022653320811677553
20327,人外娘/モンスター娘,メス堕ち,-0.022653320811677452
9896,青姦,メス堕ち,-0.02265332081167741
15876,総集編,口内射精,-0.02265173517031153
59678,しつけ,ママ,-0.022649828441408518
53973,ファンタジー,盗撮,-0.022649828441408473
59386,しつけ,バイオレンス,-0.022649828441408473
53976,ファンタジー,靴下,-0.02264982844140845
55065,ハーレム,つるぺた,-0.02264760550162024
67973,母親,汁/液大量,-0.02264130642075081
497,乳首責め,複乳/怪乳/超乳,-0.022638823755640972
502,乳首責め,スパンキング,-0.022638823755640965
67193,キャットファイト,乳首責め,-0.022638823755640896
62406,ぶっかけ,ミリタリー,-0.022638741535688445
62208,ぶっかけ,ラバー,-0.02263874153568842
62441,ぶっかけ,畜えち,-0.02263874153568838
62239,ぶっかけ,赤ちゃんプレイ,-0.02263874153568837
66680,秘密さわさわ,巨乳/爆乳,-0.022623911696565892
6080,搾乳,ツインテール,-0.022619965769718992
22452,和姦,水着,-0.022612755738652575
67657,格闘,ぼて腹/妊婦,-0.022609104144423162
35374,バニーガール,ぼて腹/妊婦,-0.022609104144423135
16371,クリ責め,東方Project,-0.022609104144423124
35426,バニーガール,クリ責め,-0.022609104144423086
41933,近親もの,SM,-0.02260545875544271
5122,命令/無理矢理,健全,-0.022602424717888665
5150,命令/無理矢理,耳かき,-0.02260242471788865
65804,女医,命令/無理矢理,-0.022602424717888623
34554,ガーター,命令/無理矢理,-0.022602424717888515
50462,初体験,機械責め,-0.022600441079794944
27612,色仕掛け,変身ヒロイン,-0.022600124155090134
19227,スクール水着,変身ヒロイン,-0.022600124155090086
798,男主人公,レズ/女同士,-0.022599159130337047
19719,太め/デブ,レズ/女同士,-0.022599159130337023
7968,パイパン,女王様/お姫様,-0.02259915913033697
19827,太め/デブ,パイパン,-0.022599159130336947
23879,寝取られ,つるぺたババア,-0.022597551980996635
24050,寝取られ,ごっくん/食ザー,-0.022595832351310036
51995,VTuber,ショタ,-0.022591568524110196
63623,出産,汁/液大量,-0.02258972986007735
63613,出産,黒髪,-0.022589729860077318
28422,体操着,寝取られ,-0.022585363101531936
7183,アナル,ノーマルプレイ,-0.022581583293458676
44373,淡白/あっさり,アナル,-0.022581583293458656
44372,淡白/あっさり,つるぺた,-0.022581583293458635
40375,パイズリ,産卵,-0.02258073568840046
38772,ミリタリー,おっぱい,-0.022579742560050776
49097,畜えち,おっぱい,-0.022579742560050697
5842,3D作品,メガネ,-0.022570344388197695
58376,男の娘,ギャル,-0.022565549845275135
8357,ぼて腹/妊婦,命令/無理矢理,-0.02256363239491447
30376,萌え,退廃/背徳/インモラル,-0.022560339680109644
29032,退廃/背徳/インモラル,ASMR,-0.022560339680109627
18333,女体化,トランス/暗示,-0.022554692381130028
24944,合意なし,女体化,-0.022554692381130025
2261,黒髪,人体改造,-0.022549194282647716
10421,芸能人/アイドル/モデル,触手,-0.022539860060221167
13650,風俗/ソープ,アナル,-0.022535570319727933
404,SM,メス堕ち,-0.02253534446801599
27054,ショートカット,メス堕ち,-0.022535344468015955
66132,女教師,異種えっち,-0.02253448195192209
2694,寝取り,異種えっち,-0.022534481951922064
18114,ツンデレ,言葉責め,-0.022523774641098237
12671,言葉責め,搾乳,-0.02252377464109821
43021,売春/援交,OL,-0.02251794035258744
42834,売春/援交,巨根,-0.02251794035258741
11234,ビッチ,機械責め,-0.02251327351356419
7710,スレンダー,レスラー/格闘家,-0.022508002325679
51710,VTuber,顔射,-0.022508002325678983
51805,VTuber,スレンダー,-0.022508002325678973
47461,女性優位,おもらし,-0.022507200347111463
67683,格闘,性転換(TS),-0.02250374881376506
12016,性転換(TS),東方Project,-0.02250374881376506
52084,百合,東方Project,-0.022503748813765018
22625,ストッキング,シリーズもの,-0.022495537845552045
21160,無表情,回し,-0.022494061051453875
20460,人外娘/モンスター娘,言葉責め,-0.022488832702896637
58470,男の娘,言葉責め,-0.02248883270289653
39621,サキュバス/淫魔,浮気,-0.022482213895280923
39778,サキュバス/淫魔,オールハッピー,-0.022482213895280854
57151,ママ,屈辱,-0.02248084365577255
63911,おねショタ,つるぺたババア,-0.022480843655772548
64002,おねショタ,シリアス,-0.02248084365577252
59561,しつけ,女主人公,-0.022479259241362043
26977,人妻,クリ責め,-0.022476790133013756
18323,女体化,総集編,-0.022471166051693317
46551,乳首/乳輪,女体化,-0.022471166051693293
43909,くノ一,お尻/ヒップ,-0.02246396832865339
63799,出産,褐色/日焼け,-0.02245857851348001
21631,お姉さん,薬物,-0.022457764525886752
29002,退廃/背徳/インモラル,母乳,-0.022456958224067312
3598,ツインテール,SM,-0.022449131725934574
39840,サキュバス/淫魔,寝取られ,-0.02244466081281757
24995,男性受け,感動,-0.022442227773242472
25144,男性受け,ヤンデレ,-0.02244222777324245
25146,男性受け,けもの/獣化,-0.022442227773242444
55906,フタナリ,体育会系/スポーツ選手,-0.02244222777324236
55630,フタナリ,感動,-0.022442227773242316
38292,歳の差,異種えっち,-0.02243905931885674
9010,制服,シリアス,-0.022434931893871086
9017,制服,ヤクザ/裏社会,-0.022433241156232603
50819,逆アナル,オナニー,-0.022429629079231468
33827,逆レ,オールハッピー,-0.0224282767533717
23843,オホ声,ツンデレ,-0.022427227579811013
10327,芸能人/アイドル/モデル,逆転無し,-0.022425818618823163
1742,機械責め,逆転無し,-0.02242581861882316
51752,VTuber,少女,-0.02242417414191574
6440,セーラー服,ASMR,-0.0224181935670363
13911,熟女,人体改造,-0.022417227342752408
25317,道具/異物,変身ヒロイン,-0.022416816333226303
48953,畜えち,触手,-0.02240944413163702
7833,触手,娘,-0.022409444131636976
7765,触手,ぷに,-0.02240944413163696
7861,触手,赤ちゃんプレイ,-0.02240944413163696
54139,ファンタジー,おもらし,-0.022406595343638813
11558,ラブコメ,母乳,-0.022395351897247107
4813,オナニー,ミステリー,-0.02239082742154982
4840,オナニー,石化,-0.022390827421549814
5441,バイノーラル/ダミヘ,ツインテール,-0.022389415318253503
33974,長身,貧乳/微乳,-0.022383776844344203
60966,エルフ/妖精,妹,-0.022379879318459313
46853,少年,トランス/暗示,-0.02237019425994319
17720,トランス/暗示,ローション,-0.02237019425994318
22979,脚,トランス/暗示,-0.02237019425994317
55040,ハーレム,丸呑み,-0.02236704886776535
66374,女教師,女性優位,-0.022351382323872963
47351,女性優位,寝取り,-0.022351382323872945
23308,マニアック/変態,ニーソックス,-0.022348790268650512
26840,人妻,貧乳/微乳,-0.02234753496179721
30201,萌え,異種えっち,-0.022346845024270874
6282,ASMR,異種えっち,-0.022346845024270798
20863,潮吹き,オールハッピー,-0.022341993854684824
4524,コスプレ,機械責め,-0.022338072975335306
43725,くノ一,ギャル,-0.022328597397993914
20165,おさわり,ギャル,-0.022328597397993834
67488,キャットファイト,淫乱,-0.022328500227935207
67109,癒し,ショタ,-0.022324137979245862
49249,ショタ,3D作品,-0.022324137979245852
42022,近親もの,変身ヒロイン,-0.02232365243604178
18222,女体化,汁/液大量,-0.02232153029399066
59256,学生,逆レ,-0.022318373146019678
33859,逆レ,産卵,-0.022315568340343102
23794,オホ声,青姦,-0.02231419012927916
55703,フタナリ,首輪/鎖/拘束具,-0.02230573872879137
60057,屋外,メス堕ち,-0.022297727547308716
55146,ハーレム,体格差,-0.02229507036245294
55129,ハーレム,おもらし,-0.0222950703624529
48383,着物/和服,総集編,-0.022294432412548727
46630,乳首/乳輪,悪堕ち,-0.022294432412548675
15920,総集編,熟女,-0.022294432412548675
59558,しつけ,オホ声,-0.0222934945062404
2108,ギャル,SM,-0.022286691410787967
14283,学校/学園,石化,-0.0222793182000651
60773,エルフ/妖精,シリーズもの,-0.022279109903373853
23212,中出し,不良/ヤンキー,-0.022273480732659272
12934,処女,寝取らせ,-0.02227117996291178
57791,きせかえ,処女,-0.022271179962911773
56777,ボンデージ,処女,-0.02227117996291177
34796,羞恥/恥辱,ラバー,-0.022271071997605547
68117,母親,女主人公,-0.02226866764915714
22491,和姦,触手,-0.022263434265641608
